Experiment_ID,Matrix_Size,CPU_Set_Name,CPU_Cores_List,Run_Number
EXP_0001,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],1
EXP_0594,8000,8E,[16; 17; 18; 19; 20; 21; 22; 23],24
EXP_0532,8000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],22
EXP_0354,4000,8E,[16; 17; 18; 19; 20; 21; 22; 23],24
EXP_0333,4000,8E,[16; 17; 18; 19; 20; 21; 22; 23],3
EXP_0535,8000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],25
EXP_0245,4000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],5
EXP_0023,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],23
EXP_0441,6000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],21
EXP_0117,1000,8E,[16; 17; 18; 19; 20; 21; 22; 23],27
EXP_0090,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],30
EXP_0366,6000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],6
EXP_0212,2000,8E,[16; 17; 18; 19; 20; 21; 22; 23],2
EXP_0019,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],19
EXP_0408,6000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],18
EXP_0321,4000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],21
EXP_0145,2000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],25
EXP_0290,4000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],20
EXP_0275,4000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],5
EXP_0542,8000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],2
EXP_0361,6000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],1
EXP_0251,4000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],11
EXP_0288,4000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],18
EXP_0529,8000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],19
EXP_0401,6000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],11
EXP_0168,2000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],18
EXP_0055,1000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],25
EXP_0494,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],14
EXP_0047,1000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],17
EXP_0094,1000,8E,[16; 17; 18; 19; 20; 21; 22; 23],4
EXP_0265,4000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],25
EXP_0109,1000,8E,[16; 17; 18; 19; 20; 21; 22; 23],19
EXP_0273,4000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],3
EXP_0600,8000,8E,[16; 17; 18; 19; 20; 21; 22; 23],30
EXP_0480,6000,8E,[16; 17; 18; 19; 20; 21; 22; 23],30
EXP_0437,6000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],17
EXP_0384,6000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],24
EXP_0381,6000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],21
EXP_0463,6000,8E,[16; 17; 18; 19; 20; 21; 22; 23],13
EXP_0395,6000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],5
EXP_0266,4000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],26
EXP_0481,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],1
EXP_0518,8000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],8
EXP_0070,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],10
EXP_0232,2000,8E,[16; 17; 18; 19; 20; 21; 22; 23],22
EXP_0404,6000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],14
EXP_0279,4000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],9
EXP_0473,6000,8E,[16; 17; 18; 19; 20; 21; 22; 23],23
EXP_0351,4000,8E,[16; 17; 18; 19; 20; 21; 22; 23],21
EXP_0510,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],30
EXP_0150,2000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],30
EXP_0125,2000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],5
EXP_0429,6000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],9
EXP_0466,6000,8E,[16; 17; 18; 19; 20; 21; 22; 23],16
EXP_0186,2000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],6
EXP_0228,2000,8E,[16; 17; 18; 19; 20; 21; 22; 23],18
EXP_0292,4000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],22
EXP_0248,4000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],8
EXP_0291,4000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],21
EXP_0250,4000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],10
EXP_0444,6000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],24
EXP_0552,8000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],12
EXP_0553,8000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],13
EXP_0551,8000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],11
EXP_0115,1000,8E,[16; 17; 18; 19; 20; 21; 22; 23],25
EXP_0204,2000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],24
EXP_0142,2000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],22
EXP_0339,4000,8E,[16; 17; 18; 19; 20; 21; 22; 23],9
EXP_0008,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],8
EXP_0522,8000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],12
EXP_0020,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],20
EXP_0173,2000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],23
EXP_0452,6000,8E,[16; 17; 18; 19; 20; 21; 22; 23],2
EXP_0057,1000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],27
