Experiment_ID,Matrix_Size,CPU_Set_Name,CPU_Cores_List,Run_Number
EXP_0130,8000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],4
EXP_0038,2000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],3
EXP_0151,4000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],8
EXP_0002,4000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],9
EXP_0053,2000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],6
EXP_0131,2000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],4
EXP_0104,2000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],10
EXP_0100,2000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],4
EXP_0117,8000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],5
EXP_0088,2000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],8
EXP_0075,4000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],7
EXP_0122,1000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],4
EXP_0160,4000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],3
EXP_0021,2000,8E,[16; 17; 18; 19; 20; 21; 22; 23],6
EXP_0072,4000,8E,[16; 17; 18; 19; 20; 21; 22; 23],2
EXP_0107,2000,8E,[16; 17; 18; 19; 20; 21; 22; 23],8
EXP_0015,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],5
EXP_0093,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],1
EXP_0103,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],5
