Experiment_ID,Matrix_Size,CPU_Set_Name,CPU_Cores_List,Run_Number,Executed_Governor,Time_sec,Temp°C,Timestamp
EXP_0581,8000,8E,[16; 17; 18; 19; 20; 21; 22; 23],11,performance,10.241739749908447,50.0,2025-11-26T14:42:33.084719
EXP_0295,4000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],25,performance,0.7278594970703125,50.0,2025-11-26T14:42:44.262295
EXP_0501,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],21,performance,4.059780836105347,53.0,2025-11-26T14:42:59.094316
EXP_0483,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],3,performance,2.514695167541504,54.0,2025-11-26T14:43:12.472599
EXP_0416,6000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],26,performance,1.6881883144378662,53.0,2025-11-26T14:43:24.732229
EXP_0113,1000,8E,[16; 17; 18; 19; 20; 21; 22; 23],23,performance,0.03170061111450195,46.0,2025-11-26T14:43:34.951854
EXP_0180,2000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],30,performance,0.09805488586425781,47.0,2025-11-26T14:43:45.283439
EXP_0422,6000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],2,performance,2.486536979675293,48.0,2025-11-26T14:43:58.294742
EXP_0468,6000,8E,[16; 17; 18; 19; 20; 21; 22; 23],18,performance,4.711241960525513,47.0,2025-11-26T14:44:13.833453
EXP_0450,6000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],30,performance,2.3542916774749756,48.0,2025-11-26T14:44:26.999327
EXP_0374,6000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],14,performance,2.4021544456481934,47.0,2025-11-26T14:44:40.195914
EXP_0315,4000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],15,performance,0.7516906261444092,47.0,2025-11-26T14:44:51.293645
EXP_0152,2000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],2,performance,0.09070062637329102,47.0,2025-11-26T14:45:01.621576
EXP_0583,8000,8E,[16; 17; 18; 19; 20; 21; 22; 23],13,performance,6.006759881973267,49.0,2025-11-26T14:45:18.408556
EXP_0234,2000,8E,[16; 17; 18; 19; 20; 21; 22; 23],24,performance,0.10756826400756836,45.0,2025-11-26T14:45:28.772847
EXP_0307,4000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],7,performance,0.7116994857788086,46.0,2025-11-26T14:45:39.938694
EXP_0550,8000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],10,performance,5.711327075958252,49.0,2025-11-26T14:45:56.940627
EXP_0165,2000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],15,performance,0.09628534317016602,50.0,2025-11-26T14:46:07.263958
EXP_0318,4000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],18,performance,0.7510015964508057,47.0,2025-11-26T14:46:18.352221
EXP_0137,2000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],17,performance,0.09645271301269531,44.0,2025-11-26T14:46:28.676822
EXP_0411,6000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],21,performance,1.6904771327972412,53.0,2025-11-26T14:46:40.867559
EXP_0198,2000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],18,performance,0.10862088203430176,45.0,2025-11-26T14:46:51.194747
EXP_0569,8000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],29,performance,6.111774206161499,47.0,2025-11-26T14:47:08.593642
EXP_0259,4000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],19,performance,0.7239542007446289,45.0,2025-11-26T14:47:19.770538
EXP_0233,2000,8E,[16; 17; 18; 19; 20; 21; 22; 23],23,performance,0.10616087913513184,44.0,2025-11-26T14:47:30.089831
EXP_0116,1000,8E,[16; 17; 18; 19; 20; 21; 22; 23],26,performance,0.03376936912536621,43.0,2025-11-26T14:47:40.323330
EXP_0121,2000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],1,performance,0.09637069702148438,43.0,2025-11-26T14:47:50.652065
